"id","old_findID","objecttype","broadperiod","institution","filename","imagedir"
973486,"PAS-35C8A8","RIBBON","BRONZE AGE","PAS","2017T798a.jpg","images/ianr/"
971661,"CORN-38B306","FLAT AXEHEAD","BRONZE AGE","CORN","DSCN7955.JPG","images/atyacke/"
968920,"WMID-CF81FB","FLAT AXEHEAD","BRONZE AGE","WMID","WMIDCF81FB.jpg","images/tgilmore/"
966940,"CORN-5491C3","FLAT AXEHEAD","BRONZE AGE","CORN","DSCN7806.JPG","images/atyacke/"
962778,"LANCUM-C6B5FC","TORC","BRONZE AGE","LANCUM","LANCUMC6B5FC.jpg","images/lydiaprosser/"
961873,"NMGW-47D2BB","HOARD","BRONZE AGE","NMGW","73814.jpg","images/mlodwick/"
961742,"WMID-349A3E","FLAT AXEHEAD","BRONZE AGE","WMID","WMID349A3E.jpg","images/tgilmore/"
961057,"BH-B6C885","TORC","BRONZE AGE","BH","BHB6C885.jpg","images/mfittock/"
959406,"BERK-B58065","RIBBON","BRONZE AGE","BERK","BERKB58065.jpg","images/helenacostas/"
958543,"IOW-65AD93","BRACELET","BRONZE AGE","IOW","2019T588.jpg","images/fbasford/"
957243,"GLO-92912E","JEWELLERY","BRONZE AGE","GLO","GLO92912E.jpg","images/kadams/"
948587,"HAMP-DBAD3A","TORC","BRONZE AGE","HAMP","HAMPDBAD3A.jpg","images/khindshamp/"
943923,"WILT-788C7B","PENANNULAR RING","BRONZE AGE","WILT","WILT788C7B.JPG","images/wpartridge/"
941113,"WAW-FC5599","BROOCH","BRONZE AGE","WAW","Birm623.jpg","images/kaleahy/"
940092,"NLM-57BC11","BRACELET","BRONZE AGE","NLM","NLM41579.jpg","images/mforeman/"
940073,"NLM-572E82","SPEAR","BRONZE AGE","NLM","NLM41578.jpg","images/mforeman/"
936844,"SUR-EFB639","PENANNULAR RING","BRONZE AGE","SUR","SUREFB639.jpg","images/smaslin/"
935510,"SUSS-5B32DE","PENANNULAR RING","BRONZE AGE","SUSS","2018T771.jpg","images/carolina/"
928814,"KENT-D83432","INGOT","BRONZE AGE","KENT","ingot.jpg","images/ucljo/"
927170,"HAMP-3DB6CE","UNIDENTIFIED OBJECT","BRONZE AGE","HAMP","HAMP3DB6CE.jpg","images/khindshamp/"
923356,"LEIC-171B50","BRACELET","BRONZE AGE","LEIC","2018T794LEIC171B50.jpg","images/wscott/"
920258,"HAMP-3781B6","FLAT AXEHEAD","BRONZE AGE","HAMP","HAMP3781B6.jpg","images/khindshamp/"
919630,"HAMP-B9814B","UNIDENTIFIED OBJECT","BRONZE AGE","HAMP","HAMPB9814B.jpg","images/khindshamp/"
919235,"HAMP-9FB795","PENANNULAR RING","BRONZE AGE","HAMP","HAMP9FB795.jpg","images/khindshamp/"
918988,"SOM-50218D","PENANNULAR RING","BRONZE AGE","SOM","SOM50218D.jpg","images/sab91/"
918596,"CAM-35E50D","PENANNULAR RING","BRONZE AGE","CAM","CAM35E50D.jpg","images/hfowler/"
917963,"HAMP-F792A5","RIBBON","BRONZE AGE","HAMP","HAMPF792A5.jpg","images/khindshamp/"
916640,"SOM-E86C93","PENANNULAR RING","BRONZE AGE","SOM","ba.jpg","images/mafaldaraposo/"
914377,"NMS-3E8DD8","PENANNULAR RING","BRONZE AGE","NMS","XXX_3E8DD8_MBA_PenannularRing_small.jpg","images/jshoemark5/"
913594,"CORN-AE219D","INGOT","BRONZE AGE","CORN","DSCN6595.JPG","images/atyacke/"
911631,"LANCUM-5E3C83","DAGGER","BRONZE AGE","LANCUM","LANCUM5E3C83.jpg","images/snoon/"
907324,"WMID-CC7526","FLAT AXEHEAD","BRONZE AGE","WMID","WMIDCC7526.jpg","images/sburford/"
907294,"PUBLIC-BD0932","METAL WORKING DEBRIS","BRONZE AGE","PUBLIC","PUBLICBD0932.jpg","images/rogerthomas/"
907145,"SWYOR-B6E981","ARMLET","BRONZE AGE","SWYOR","3171_Armlet_1.jpg","images/acooper/"
904260,"PAS-011055","PENANNULAR RING","BRONZE AGE","PAS","2016T920b.jpg","images/ianr/"
904181,"KENT-FF00A6","PENANNULAR RING","BRONZE AGE","KENT","KENTFF00A6.jpg","images/ucljo/"
902916,"HESH-43148A","BULLA","BRONZE AGE","HESH","HESH43148A2018T343.jpg","images/preavill/"
902633,"PAS-2D3218","RING","BRONZE AGE","PAS","2018T304a.JPG","images/ianr/"
899611,"CORN-3237B8","FLAT AXEHEAD","BRONZE AGE","CORN","DSCN0203.JPG","images/atyacke/"
899113,"YORYM-057F37","SOCKETED AXEHEAD","BRONZE AGE","YORYM","SWW0001.jpg","images/bmorris/"
888935,"HAMP-425F0D","PENANNULAR RING","BRONZE AGE","HAMP","HAMP425F0D.jpg","images/khindshamp/"
882778,"WAW-7873E6","PENANNULAR RING","BRONZE AGE","WAW","WAW7873E6.jpg","images/abolton/"
